COVID-19 Legislation,Region,Official Description,Source Link,Status Text,Last Timeline Action,Last Timeline Action Date,Internal Quorum Link
S.2621: An Act Providing Temporary Protections For Renters And Homeowners During The Covid-19 Emergency,Massachusetts,"Senate -- The committee on Senate Ways and Means to whom was referred the House Bill relative to host community agreements (House, No. 4398), - reported, in part, a ""Bill providing temporary protections for renters and homeowners during the COVID-19 emergency"" (Senate, No. 2621).",https://malegislature.gov/Bills/191/S2621,Introduced or Prefiled,Accompanied S2631,4/9/20,https://quorum.us/bill/2724001
"H.4617: Text Of A Still Still Further Amendment, Offered By Mr. Michlewitz Of Boston, To The Senate Still Further Amendment Of The House Bill To Address Challenges Faced By Municipalities And State Authorities Resulting From Covid-19 (House, No. 4598).  April 2, 2020.",Massachusetts,"Text of a still still further amendment, offered by Mr. Michlewitz of Boston, to the Senate still further amendment of the House Bill to address challenges faced by municipalities and state authorities resulting from COVID-19 (House, No. 4598). April 2, 2020.",https://malegislature.gov/Bills/191/H4617,Introduced or Prefiled,New text for H4598,4/2/20,https://quorum.us/bill/2723998
S.B. 6168: Making 2019-2021 Fiscal Biennium Supplemental Operating Appropriations.,Washington,Making 2019-2021 Fiscal Biennium Supplemental Operating Appropriations.,http://app.leg.wa.gov/billsummary?BillNumber=6168&Year=2019,Enacted,Effective date 4/3/2020.,4/3/20,https://quorum.us/bill/2658909
S.B.1322: Remote Online Notarization Act.,California,"Existing law authorizes the Secretary of State to appoint and commission notaries public in the number the Secretary of State deems necessary for the public convenience. Existing law authorizes notaries public to act as notaries in any part of the state and prescribes the manner and method of notarizations.
This bill, the Remote Online Notarization Act, would authorize a notary public to apply for registration with the Secretary of State to be a remote online notary public. The bill would provide that a remote online notary public is a notary public for purposes of the above-described provisions. The bill would require the Secretary of State to adopt rules
necessary to implement the act. The bill would provide that the act shall remain in effect only while there is a declaration of a state of emergency by the Governor related to the COVID-19 virus in effect. The bill would make related findings and declarations.
This bill would declare that it is to take effect immediately as an urgency statute.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB1322,Introduced or Prefiled,From committee with author's amendments. Read second time and amended. Re-referred to Committee on Committee on Rules,4/3/20,https://quorum.us/bill/2708652
H.B.2372: An Act providing for insurance coverage for business interruption.,Pennsylvania,An Act providing for insurance coverage for business interruption.,https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2372,Introduced or Prefiled,PN 3512 Referred to INSURANCE,4/3/20,https://quorum.us/bill/2723315
"S.B.1104: An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, in emergency finance and tax provisions, providing for exemption from taxation.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, in emergency finance and tax provisions, providing for exemption from taxation.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=S&type=B&bn=1104,Introduced or Prefiled,PN 1617 Referred to FINANCE,4/3/20,https://quorum.us/bill/2723952
S.B. 6248: Concerning the Capital Budget.,Washington,Concerning the Capital Budget.,http://app.leg.wa.gov/billsummary?BillNumber=6248&Year=2019,Enacted,Effective date 4/3/2020.,4/3/20,https://quorum.us/bill/2662821
"S.B.1101: An Act amending Title 3 (Agriculture) of the Pennsylvania Consolidated Statutes, providing for pandemic of 2020 guidelines for food establishments.",Pennsylvania,"An Act amending Title 3 (Agriculture) of the Pennsylvania Consolidated Statutes, providing for pandemic of 2020 guidelines for food establishments.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=S&type=B&bn=1101,Introduced or Prefiled,PN 1618 Referred to AGRICULTURE AND RURAL AFFAIRS,4/3/20,https://quorum.us/bill/2723950
"H.4612: Text Of A Further Amendment, Offered By Mr. Michlewitz Of Boston, To The Senate Amendment (Striking Out All After The Enacting Clause And Inserting In Place Thereof The Text Contained In Senate Document Numbered 2619) Of The House Bill To Address Challenges Faced By Municipalities And State Authorities Resulting From Covid-19 (House, No. 4598). March 30, 2020.",Massachusetts,"Text of a further amendment, offered by Mr. Michlewitz of Boston, to the Senate amendment (striking out all after the enacting clause and inserting in place thereof the text contained in Senate document numbered 2619) of the House Bill to address challenges faced by municipalities and state authorities resulting from COVID-19 (House, No. 4598). March 30, 2020.",https://malegislature.gov/Bills/191/H4612,Introduced or Prefiled,See H4598,3/30/20,https://quorum.us/bill/2723934
"S.7506B.: Enacts into law major components of legislation necessary to implement the state education, labor, housing and family assistance budget for the 2020-2021 state fiscal year",New York,"Enacts into law major components of legislation necessary to implement the state education, labor, housing and family assistance budget for the 2020-2021 state fiscal year; relates to contracts for excellence and the apportionment of public moneys; relates to the statewide universal full-day pre-kindergarten program; relates to conditions under which districts are entitled to apportionment; relates to courses of instruction in patriotism and citizenship and in certain historic documents; relates to instruction in the Holocaust in certain schools; relates to moneys apportioned to school districts for commercial gaming grants; relates to the universal pre-kindergarten program; relates to funding a program for work force education conducted by the consortium for worker education in New York city, in relation to reimbursements for the 2020-2021 school year; relates to funding a program for work force education conducted by the consortium for worker education in New York city, in relation to withholding a portion of employment preparation education aid; relates to certain provisions related to the 1994-95 state operations, aid to localities, capital projects and debt service budgets; relates to conditional appointment of school district, charter school or BOCES employees; relates to the provision of supplemental educational services, attendance at a safe public school and the suspension of pupils who bring a firearm to or possess a firearm at a school; relates to implementation of the No Child Left Behind Act of 2001; relates to the support of education; relates to school bus driver training; relates to special apportionment for salary expenses and public pension accruals; relates to authorizing the city school district of the city of Rochester to purchase certain services; relates to suballocations of appropriations; relates to authorizing the Roosevelt union free school district to finance deficits by the issuance of serial bonds; in relation to certain apportionments; relates to supplementary funding for dedicated programs for public school students in the East Ramapo central school district; authorizes deficit financing and an advance of aid payments for the Wyandanch union free school district, in relation to the issuance of serial bonds; and relates to the support of public libraries (Part A); relates to establishing the Syracuse Comprehensive Education and Workforce Training Center focusing on Science, Technology, Engineering, Arts, and Math to provide instruction to students in the Onondaga, Cortland and Madison county BOCES and the central New York region in the areas of science, technology, engineering, arts and mathematics (Part B); directs the commissioner of education to appoint a monitor for the Rochester city school district, establishing the powers and duties of such monitor and certain other officers and relating to the apportionment of aid to such school district (Part C); relates to predictable tuition allowing annual tuition increase for certain SUNY schools (Part D); relates to utilizing reserves in the mortgage insurance fund for various housing purposes (Part H); authorizes a payment offset for rent administration costs (Part I); relates to requirements for sick leave (Part J); relates to increasing the standards of monthly need for aged, blind and disabled persons living in the community (Part K); relates to judgments of parentage of children conceived through assisted reproduction or pursuant to surrogacy agreements; relates to restricting genetic surrogate parenting contracts; relates to voluntary acknowledgments of parentage, gestational surrogacy and regulations concerning ova donation; in relates to the regulation of surrogacy programs; relates to inheritance by children after the death of an intended parent; relates to legitimacy of children born by artificial insemination (Part L); relates to restructuring financing for residential school placements (Part N); relates to establishing the curing Alzheimer's health consortium (Part P); relates to the foster youth college success initiative (Part Q); relates to the standard of proof for unfounded and indicated reports of child abuse and maltreatment; relates to the admissibility of reports of child abuse and maltreatment (Part R); relates to increasing the annual amount of loans made to an agricultural producer from the housing development fund (Part S); relates to increasing the bonding authority of the New York city housing development corporation (Part T); relates to the date when the local legislative body of a city having a population of one million or more may determine the continuation of the emergency (Part U); relates to photo identification cards (Part V); relates to state support for the local enforcement of past-due property taxes (Part W); relates to the employer compensation expense tax (Part X); amends the New York Health Care Reform Act of 1996, in relation to extending certain provisions relating thereto; relates to health care initiative pool distributions; amends the New York Health Care Reform Act of 2000, in relation to extending the effectiveness of provisions thereof; eliminates programs that do not support the department of health's core mission; relates to payments for uncompensated care to certain voluntary non-profit diagnostic and treatment centers; relates to the distribution pool allocations and graduate medical education; relates to the assessments on covered lives; relates to tobacco control and insurance initiatives pool distributions; relates to malpractice and professional medical conduct; relates to enacting major components necessary to implement the state fiscal plan for the 2003-04 state fiscal year, in relation to the deposit of certain funds; extends payment provisions for general hospitals; extends payment provisions for certain medical assistance rates for certified home health agencies; extends payment provisions for certain personal care services medical assistance rates; relates to payments from the New York state medical indemnity fund; repeals certain provisions of the public health law relating to funding for certain programs (Part Y); relates to limiting the availability of enhanced quality of adult living program (""EQUAL"") grants (Part Z); relates to transferring responsibility for the autism awareness and research fund to the office for people with developmental disabilities; relates to transferring responsibility for the comprehensive care centers for eating disorders to the office of mental health; repeals certain provisions relating to funding for certain programs (Part AA); relates to electronic prescriptions; relates to limiting the method of payment for prescription drugs under the medical assistance program; relates to continuing nursing home upper payment limit payments; relates to encouraging comprehensive health services; relates to allowing the use of funds of the office of professional medical conduct for activities of the patient health information and quality improvement act of 2000; relates to the statewide health information network of New York and the statewide planning and research cooperative system and general powers and duties; relates to reimbursement to participating provider pharmacies and prescription drug coverage; relates to issuance of certificates of authority to accountable care organizations; authorizes the commissioner of health to apply federally established consumer price index penalties for generic drugs, authorizes the commissioner of health to impose penalties on managed care plans for reporting late or incorrect encounter data; relates to supplemental rebates; relates to waiver of certain regulations; relates to rates for residential health care facilities; relates to medical reimbursement and welfare reform; relates to adjustments of rates; relates to the New York state health insurance continuation assistance demonstration project; relates to immunizing agents to be administered to adults by pharmacists; authorizes a licensed pharmacist and certified nurse practitioner to administer certain immunizing agents; authorizes pharmacists to perform collaborative drug therapy management with physicians in certain settings (Part BB); relates to the state's schedules of controlled substances (Part CC); relates to the state's modernization of environmental health fee (Part DD); relates to the sale of tobacco products and vapor products (Part EE); relates to the renaming of the Physically Handicapped Children's Program (Part FF); creates a single preferred-drug list for medication assisted treatment; relates to supplemental rebates; establishes payments for medical assistance; relates to medical assistance eligibility of certain persons and provides for managed medical care demonstration programs (Part GG); expands telehealth services (Part HH); establishes a pilot program for the purposes of promoting social determinant of health interventions (Part II); provides for the administration of certain funds and accounts related to the 2020-2021 budget, authorizes certain payments and transfers; relates to the administration of certain funds and accounts; relates to the financing of the correctional facilities improvement fund and the youth facility improvement fund, in relation to the issuance of certain bonds or notes; relates to providing for the administration of certain funds and accounts related to the 2005-2006 budget, in relation to the issuance of certain bonds or notes; relates to the issuance of certain bonds or notes; provides for the administration of certain funds and accounts related to the 2002-2003 budget, in relation to the issuance of certain bonds or notes; amends the New York state medical care facilities finance agency act, in relation to the issuance of certain bonds or notes; amends the New York state urban development corporation act, in relation to the issuance of certain bonds or notes; relates to the establishment of the dedicated highway and bridge trust fund, in relation to the issuance of certain bonds or notes; relates to housing program bonds and notes; authorizes the dormitory authority of the state of New York and the urban development corporation to enter into line of credit facilities, and relates to state-supported debt issued during the 2021 fiscal year; relates to payments of bonds; relates to an action related to a bond; establishes the public health emergency charitable gifts trust fund (Part JJ); relates to the designation of statewide general hospital quality and sole community pools and the reduction of capital related inpatient expenses (Part KK); relates to reimbursement of transportation costs; relates to supplemental transportation payments; relates to reimbursement of emergency transportation services; manages Medicaid transportation services using the contracted transportation managers for transportation provided to enrollees of managed long term care plans; transitions to a Medicaid transportation broker; relates to reimbursement of emergency medical transportation (Part LL); relates to changing the authorization requirements for personal care services; relates to integrated medicaid managed care products for dual-eligibles; in relation to licensed home care service agency contracting; relates to fair hearings within the Fully Integrated Duals Advantage program; relates to integrated fair hearing and appeals processes; relates to the hospice worker recruitment and retention program; relates to licensed home care services agencies; directs the department of health to contract with an independent assessor to conduct community health assessments; relates to health homes and penalties for managed care providers, in relation to the effectiveness of certain contracts; relates to the medicaid eligibility look-back period and to the community spouse resource amount; relates to authorizations for personal care services; directs the department of health to establish or procure the services of an independent panel of clinical professionals and to develop and implement a uniform task-based assessment tool; relates to managed long term care plans program oversight and administration (Part MM); relates to discontinuing return of equity payments to for-profit nursing homes (Part NN); relates to wage parity enforcement (Part OO); relates to improving access to private duty nursing services for medically fragile children, removing limitations on alternative rehabilitative services and establishing pilot programs promoting the use of alternative treatments for individuals suffering from chronic lower back pain and diabetes and chronic disease self-management (Part PP); relates to managed care encounter data (Part QQ); relatesn to authorizing providing relocation and employment assistance credits (Part RR); relates to abatement of tax payments for certain industrial and commercial properties in a city of one million or more persons (Part SS); relates to omitting a candidate for the office of president of the United States from the primary ballot (Part TT); relates to securing orders and pretrial proceedings (Part UU); relates to transit crimes and prohibition orders relating to such crimes (Part VV); amends the Hudson river park act, in relation to Pier 76 (Part WW); relates to prescription drug pricing and creating a drug accountability board (Part XX); relates to claims payment timeframes and payment of interest, payment and billing for out-of-network hospital emergency services, claims payment performance and creation of a workgroup to study health care administrative simplification; relates to claims for medical debt; relates to provisional credentialing of physicians, relates to preventing recoupment of COVID-19 related inpatient and emergency services claims (Part YY); relates to certain Medicaid management (Part ZZ); relates to malpractice and professional medical conduct; extends certain provisions concerning the hospital excess liability pool; amends the New York Health Care Reform Act of 1996 and other laws relating to extending certain provisions relating thereto, in relation to extending provisions relating to excess coverage (Part AAA); relates to known and projected department of health state fund Medicaid expenditures, in relation to extending the Medicaid global cap (Part CCC); relates to capping cost sharing for insulin (Part DDD); relates to the New York State Bridge Authority (Part EEE); relates to extending and enhancing the Medicaid drug cap and to reduce unnecessary pharmacy benefit manager costs to the Medicaid program; directs the department of health to remove the pharmacy benefit from the managed care benefit package and to provide the pharmacy benefit under the fee for service program; relates to participation and membership in a demonstration period (Part FFF); relates to enacting the emergency or disaster treatment protection act (Part GGG); relates to automatic discovery (Part HHH); relates to establishing a period of probable usefulness for airport construction and improvement of the Ithaca Tompkins International Airport (Part III); validates certain acts of the Mahopac Central school district with regard to certain capital improvement projects (Part JJJ); relates to managed care encounter data, authorizes electronic notifications, establishes regional demonstration projects (Part KKK); relates to the operation and administration of the legislature, in relation to extending such provisions (Part LLL).",http://nysenate.gov/legislation/bills/2019/S7506,Enacted,Signed Chap.56,4/3/20,https://quorum.us/bill/2678336
S.B.1103: An Act providing for a return to business operations under safety conditions; imposing sanctions; and providing for functions of the Department of Health and the Legislative Reference Bureau.,Pennsylvania,An Act providing for a return to business operations under safety conditions; imposing sanctions; and providing for functions of the Department of Health and the Legislative Reference Bureau.,https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=S&type=B&bn=1103,Introduced or Prefiled,PN 1620 Referred to HEALTH AND HUMAN SERVICES,4/3/20,https://quorum.us/bill/2723960
"S.B.1102: An Act amending Title 3 (Agriculture) of the Pennsylvania Consolidated Statutes, providing for pandemic of 2020 guidelines for grocery stores.",Pennsylvania,"An Act amending Title 3 (Agriculture) of the Pennsylvania Consolidated Statutes, providing for pandemic of 2020 guidelines for grocery stores.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=S&type=B&bn=1102,Introduced or Prefiled,PN 1619 Referred to AGRICULTURE AND RURAL AFFAIRS,4/3/20,https://quorum.us/bill/2723956
H.R.836: A Concurrent Resolution terminating the disaster emergency declared in response to the cases of COVID-19 in Pennsylvania.,Pennsylvania,A Concurrent Resolution terminating the disaster emergency declared in response to the cases of COVID-19 in Pennsylvania.,https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=R&bn=836,Introduced or Prefiled,PN 3521 Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS,4/3/20,https://quorum.us/bill/2723290
H.B. 1783: Creating the Washington State Office of Equity.,Washington,"Creates the Washington state office of equity within the office of the governor for promoting access to equitable opportunities and resources that reduce disparities, including racial and ethnic disparities, and improve outcomes statewide across all sectors of government.
Requires the office to: (1) Facilitate state policy and systems change;
(2) Promote community outreach and engagement;
(3) Collaborate with the office of financial management and the department of enterprise services to develop policies, provide technical assistance, and training for agencies on maintaining a diverse, inclusive, and culturally sensitive workforce; and
(4) Establish, in collaboration with results Washington, and agencies as appropriate: (a) Standards for the collection, analysis, and reporting of disaggregated data regarding race and ethnicity; (b) agency-specific performance measures; and (c) an online performance dashboard.
Requires agencies to provide appropriate and reasonable assistance to the office, work to meet performance measures, and implement the equity assessment tools.
Allows the office to convene work groups consisting of agency representatives and public stakeholders, to explore strategies to achieve the purpose of this act.
Creates a task force to establish the initial operations plan for the office.",http://app.leg.wa.gov/billsummary?BillNumber=1783&Year=2019,Enacted,Effective date 6/11/2020*.,4/3/20,https://quorum.us/bill/2523081
"S.B.1100: An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, in emergency finance and tax provisions, providing for exemption from income.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, in emergency finance and tax provisions, providing for exemption from income.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=S&type=B&bn=1100,Introduced or Prefiled,PN 1612 Referred to FINANCE,4/3/20,https://quorum.us/bill/2723948
